2026-03-24 18:08:08 | DEBUG    | mangabuff | Парсинг карты: Белль и Эос (ID: 191369)
2026-03-24 18:08:08 | DEBUG    | mangabuff | Карта Белль и Эос пропущена: 750 желающих
2026-03-24 18:08:09 | DEBUG    | mangabuff | Парсинг карты: Рам (ID: 56331)
2026-03-24 18:08:11 | DEBUG    | mangabuff | Карта Рам пропущена: 92 желающих
2026-03-24 18:08:11 | DEBUG    | mangabuff | Парсинг карты: Диадора (ID: 116089)
2026-03-24 18:08:12 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Диадора (4 желающих) после 5 проверок
2026-03-24 18:08:13 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:08:13 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2635
2026-03-24 18:08:13 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:08:13 | DEBUG    | mangabuff | Парсинг карты: Ким Хён Джи (ID: 62979)
2026-03-24 18:08:13 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Ким Хён Джи (2 желающих) после 1 проверок
2026-03-24 18:08:29 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:08:29 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2634
2026-03-24 18:08:29 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:08:29 | DEBUG    | mangabuff | Парсинг карты: Чхвэ Тэ Джун (ID: 48770)
2026-03-24 18:08:30 | DEBUG    | mangabuff | Альтернатива обновлена: Чхвэ Тэ Джун (25)
2026-03-24 18:08:30 | DEBUG    | mangabuff | Парсинг карты: Сильвия (ID: 184676)
2026-03-24 18:08:30 | DEBUG    | mangabuff | Карта Сильвия пропущена: 330 желающих
2026-03-24 18:08:31 | DEBUG    | mangabuff | Парсинг карты: Гви Чжугэ Тан Гун (ID: 191921)
2026-03-24 18:08:31 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Гви Чжугэ Тан Гун (8 желающих) после 3 проверок
2026-03-24 18:08:36 | WARNING  | mangabuff | Прервано пользователем (Ctrl+C)
2026-03-24 18:12:27 | INFO     | mangabuff | ======================================================================
2026-03-24 18:12:27 | INFO     | mangabuff | MangaBuff v2.8.1 - Запуск приложения
2026-03-24 18:12:27 | INFO     | mangabuff | ======================================================================
2026-03-24 18:12:27 | INFO     | mangabuff | Уровень логирования: DEBUG
2026-03-24 18:12:27 | INFO     | mangabuff | Debug mode: True | Dry run: False
2026-03-24 18:12:27 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:12:27 | INFO     | mangabuff | ======================================================================
2026-03-24 18:12:27 | INFO     | mangabuff | Инициализация приложения MangaBuff v2.8.1
2026-03-24 18:12:27 | INFO     | mangabuff | ======================================================================
2026-03-24 18:12:27 | INFO     | mangabuff | Rate Limiting: 80 req/min
2026-03-24 18:12:27 | INFO     | mangabuff | Вход в аккаунт...
2026-03-24 18:12:29 | INFO     | mangabuff | Авторизация успешна
2026-03-24 18:12:29 | INFO     | mangabuff | Инициализация менеджера статистики...
2026-03-24 18:12:29 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-24 18:12:29 | INFO     | mangabuff | Инициализация монитора истории обменов...
2026-03-24 18:12:29 | INFO     | mangabuff | Монитор истории запущен (проверка каждые 10с)
2026-03-24 18:12:33 | INFO     | mangabuff | Загружено карточек с сервера (без фильтра): 6195
2026-03-24 18:12:33 | INFO     | mangabuff | После фильтрации: 4594 карт. Пропущено 1601: {'S': 241, 'A': 37, 'P': 40, 'G': 485, 'B': 789, 'V': 9}
2026-03-24 18:12:33 | INFO     | mangabuff | Загружено карточек: 4594
2026-03-24 18:12:33 | DEBUG    | mangabuff | Инвентарь сохранен в файл
2026-03-24 18:12:33 | INFO     | mangabuff | Синхронизация инвентаря с пропарсенными данными...
2026-03-24 18:12:33 | INFO     | mangabuff | Синхронизация завершена успешно
2026-03-24 18:12:33 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-24 18:12:35 | INFO     | mangabuff | Буст-карта загружена: Гобуми (ID: 63034)
2026-03-24 18:12:35 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-24 18:12:35 | INFO     | mangabuff | Владельцев: 1350, Желающих: 10
2026-03-24 18:12:35 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-24 18:12:35 | INFO     | mangabuff | Запуск монитора буста для карты ID: 63034...
2026-03-24 18:12:35 | INFO     | mangabuff | Монитор запущен для карты ID: 63034
2026-03-24 18:12:35 | DEBUG    | mangabuff | Инициализация OwnersProcessor
2026-03-24 18:12:35 | INFO     | mangabuff | Запуск режима обработки владельцев
